driver version:	441.20
NVML version:	10.441.20


devices_count:	1
devices:
- index:	0
  name:		GeForce GTX 950
  fan_speed:	0%
  temperature:	46C
  power_usage:	12404mW
  gpu_utilization:	0%
  memory_utilization:	19%


Monitoring GPUs with polling period of 250ms:


timestamp_ms,device_index,fan_speed,temperature,power_usage,gpu_utilization,memory_utilization
38944219,0,0,46,12404,0,19
38944471,0,0,46,12404,0,19
38944723,0,0,46,12404,2,20
38944975,0,0,46,12314,0,19
38945228,0,0,46,12314,0,19
38945481,0,0,46,12314,0,19
38945733,0,0,46,12510,0,19
38945988,0,0,46,27397,75,12
38946240,0,0,46,30026,26,12
38946492,0,0,46,30235,2,3
38946745,0,0,46,30136,3,3
38946999,0,0,46,30039,0,2
38947252,0,0,46,29942,1,2
38947505,0,0,46,30061,0,2
38947764,0,0,46,20521,0,11
38948020,0,0,46,29078,92,17
38948272,0,0,46,30512,7,6
38948525,0,0,46,30788,2,3
38948780,0,0,47,21741,1,14
38949033,0,0,46,21741,8,21
38949286,0,0,46,21741,1,19
38949537,0,0,46,28609,72,14
38949790,0,0,46,30318,1,3
38950043,0,0,46,16647,0,11
38950296,0,0,46,16647,4,21
38950548,0,0,46,16647,29,36
38950799,0,0,46,16647,5,21
38951050,0,0,46,18058,8,22
38951303,0,0,46,30002,91,16
38951555,0,0,46,16836,1,15
38951809,0,0,46,16836,0,19
38952061,0,0,46,16836,20,32
38952313,0,0,46,31084,11,10
38952565,0,0,46,30534,3,4
38952817,0,0,46,30253,1,3
38953070,0,0,46,16847,1,14
38953323,0,0,46,16847,0,19
38953575,0,0,46,16847,18,31
38953827,0,0,46,16847,0,19
38954080,0,0,46,12322,2,21
38954334,0,0,46,12322,0,19
38954586,0,0,46,12322,3,21
38954838,0,0,46,12322,0,20
38955091,0,0,46,12118,2,20
38955344,0,0,46,12118,0,20
38955596,0,0,46,12118,3,21
38955849,0,0,46,12118,7,24
38956101,0,0,46,12125,3,21
38956355,0,0,46,12125,0,19
38956607,0,0,46,12125,3,21
38956858,0,0,46,12125,0,20
38957112,0,0,46,12696,3,21
38957364,0,0,46,28320,96,18
38957618,0,0,46,30041,8,7
38957870,0,0,47,29964,1,3
38958124,0,0,46,29964,1,3
38958377,0,0,47,29964,1,3
38958630,0,0,46,31585,2,3
38958884,0,0,47,30823,11,10
38959137,0,0,47,30823,2,3
38959390,0,0,47,30335,1,3
38959643,0,0,47,30435,1,2
38959895,0,0,47,30158,3,4
38960148,0,0,47,30255,2,4
38960400,0,0,47,28725,2,14
38960658,0,0,46,28725,4,18
38960910,0,0,46,28725,5,22
38961162,0,0,46,28725,0,19
38961415,0,0,46,12712,7,24
38961668,0,0,46,12712,0,19
38961920,0,0,46,12712,7,24
38962172,0,0,46,12712,0,19
38962424,0,0,46,12419,5,22
38962678,0,0,46,12419,0,19
38962930,0,0,46,12419,7,24
38963182,0,0,46,12419,0,19
38963434,0,0,46,12419,7,24
38963689,0,0,46,12419,0,19
38963940,0,0,46,12419,5,22
38964192,0,0,46,12419,0,19
38964444,0,0,46,12517,5,23
38964698,0,0,46,12517,0,19
38964951,0,0,46,12517,6,23
38965203,0,0,46,12517,0,19
38965456,0,0,46,12615,8,24
38965710,0,0,46,12615,2,21
38965962,0,0,46,12615,6,22
38966214,0,0,46,30564,95,18
38966467,0,0,47,33701,32,21
38966720,0,0,46,30535,8,5
38966973,0,0,47,30333,1,3
38967226,0,0,47,30138,7,5
38967479,0,0,47,30514,0,3
38967732,0,0,47,31585,3,3
38967984,0,0,47,30041,8,6
38968237,0,0,47,29944,1,3
38968490,0,0,47,29944,1,3
38968742,0,0,47,29942,1,2
38968995,0,0,47,33817,1,2
38969247,0,0,47,36666,82,21
38969500,0,0,47,31575,48,38
38969752,0,0,47,30997,4,3
38970005,0,0,47,30898,4,3
38970258,0,0,47,30885,1,2
38970511,0,0,47,30984,1,3
38970764,0,0,47,19151,1,12
38971018,0,0,47,19151,37,40
38971269,0,0,46,19151,22,33
38971521,0,0,46,19151,2,20
38971773,0,0,47,11935,3,21
38972027,0,0,46,11935,5,21
38972278,0,0,46,29554,56,13
38972532,0,0,47,30803,0,2
38972784,0,0,47,30823,1,2
38973037,0,0,47,30920,0,2
38973290,0,0,47,20328,1,9
38973545,0,0,47,20328,0,19
38973797,0,0,46,20328,3,21
38974049,0,0,46,20328,1,20
38974302,0,0,46,12728,3,21
38974556,0,0,47,12728,1,20
38974808,0,0,46,12728,5,21
38975060,0,0,46,12728,2,20
38975312,0,0,47,30298,57,14
38975565,0,0,47,31102,1,2
38975818,0,0,47,31005,1,3
38976071,0,0,47,30956,0,2
38976323,0,0,47,30944,1,2
38976575,0,0,47,31332,4,4
38976828,0,0,47,16546,4,15
38977080,0,0,46,16546,2,20
38977331,0,0,46,16546,3,21
38977583,0,0,47,16546,47,46
38977834,0,0,47,12406,3,21
38978087,0,0,47,12406,1,19
38978339,0,0,47,12406,4,21
38978590,0,0,47,30847,0,2
38978842,0,0,47,16546,0,9
38979095,0,0,47,16546,12,24
38979346,0,0,47,30629,53,13
38979599,0,0,47,17430,0,9
38979852,0,0,46,17430,4,21
38980104,0,0,46,17430,3,20
38980356,0,0,46,17430,3,21
38980609,0,0,46,12221,2,20
38980862,0,0,46,12221,3,20
38981113,0,0,47,30663,3,4
38981366,0,0,47,30859,0,2
38981618,0,0,47,30657,1,3
38981870,0,0,47,30754,1,2
38982122,0,0,47,30754,0,2
38982374,0,0,47,31082,1,2
38982626,0,0,47,30629,1,3
38982879,0,0,47,30823,0,3
38983132,0,0,47,30706,0,2
38983383,0,0,47,30726,0,2
38983636,0,0,47,30726,1,2
38983888,0,0,47,30803,0,2
38984141,0,0,47,28337,0,9
38984394,0,0,47,28337,8,23
38984646,0,0,47,28337,9,24
38984898,0,0,47,28337,2,20
38985150,0,0,47,13205,5,21
38985402,0,0,47,13205,3,20
38985654,0,0,47,13205,3,21
38985906,0,0,47,13205,0,19
38986159,0,0,47,12510,2,21
38986410,0,0,47,24852,95,17
38986662,0,0,47,30765,27,7
38986915,0,0,50,64727,92,74
38987166,0,0,50,70115,81,68
38987419,0,0,53,106693,100,97
38987671,0,0,52,99118,100,92
38987923,0,0,53,100136,100,89
38988175,0,0,53,106553,95,88
38988427,0,0,53,99210,100,95
38988680,0,0,54,102253,100,98
38988932,0,0,54,104931,100,96
38989184,0,0,54,100164,100,96
38989436,0,0,55,101913,100,96
38989689,0,0,54,113102,100,96
38989941,0,0,54,100164,100,98
38990194,0,0,55,99086,100,94
38990447,0,0,56,108097,100,96
38990699,0,0,55,107181,100,96
38990951,0,0,55,98018,100,95
38991204,0,0,56,103012,100,95
38991456,0,0,56,110652,100,97
38991708,0,0,55,101010,100,96
38991961,0,0,56,100438,100,95
38992213,0,0,57,108203,100,94
38992465,0,0,56,101094,100,97
38992718,0,0,56,101761,100,94
38992970,0,0,57,105588,100,95
38993222,0,0,56,101380,100,95
38993474,0,0,56,100629,100,95
38993726,0,0,57,110917,100,95
38993978,0,0,56,98048,100,94
38994231,0,0,57,103393,100,96
38994482,0,0,57,115645,100,95
38994734,0,0,56,99115,100,95
38994987,0,0,57,101913,100,95
38995239,0,0,58,113217,100,94
38995490,0,0,57,100976,100,95
38995743,0,0,57,101296,100,96
38995995,0,0,58,107716,100,94
38996247,0,0,57,100314,100,95
38996500,0,0,57,99439,100,98
38996752,0,0,58,108416,100,97
38997004,0,0,58,101167,100,95
38997257,0,0,58,102062,100,97
38997509,0,0,58,106157,100,94
38997761,0,0,58,105656,100,94
38998014,0,0,58,102589,100,95
38998266,0,0,58,108607,100,95
38998517,0,0,59,113338,100,95
38998770,0,0,58,99945,100,94
38999022,0,0,58,103298,100,94
38999274,0,0,59,105218,100,95
38999526,0,0,58,99592,100,96
38999778,0,0,59,101918,100,95
39000030,0,0,59,111604,100,95
39000282,0,9,59,103912,100,95
39000534,0,26,59,104563,100,94
39000786,0,32,59,111754,100,94
39001039,0,26,59,105681,100,97
39001291,0,22,59,104957,100,95
39001542,0,20,60,107106,100,94
39001795,0,19,60,115048,100,97
39002048,0,19,59,102001,100,96
39002300,0,19,59,110140,100,95
39002551,0,20,60,111877,100,96
39002804,0,21,59,103119,100,95
39003056,0,22,59,104035,100,96
39003308,0,23,59,100410,100,94
39003560,0,24,59,105681,100,96
39003812,0,25,59,101749,100,95
39004064,0,26,60,107276,100,95
39004317,0,27,60,103445,100,95
39004568,0,28,59,101448,100,96
39004820,0,29,60,104767,100,95
39005073,0,29,60,112420,100,94
39005325,0,30,59,103826,100,94
39005576,0,30,60,102920,100,95
39005829,0,62,60,109765,100,96
39006081,0,31,59,101749,100,94
39006333,0,32,60,115065,100,97
39006585,0,32,60,109836,100,97
39006837,0,32,60,107897,100,97
39007089,0,33,60,100438,100,95
39007342,0,33,60,106324,100,93
39007593,0,33,60,115502,100,94
39007845,0,33,59,98496,100,94
39008098,0,33,60,103202,100,94
39008350,0,34,60,113585,100,94
39008602,0,34,59,97724,100,95
39008855,0,34,60,104525,100,95
39009107,0,34,60,113217,100,96
39009359,0,34,60,101776,100,95
39009612,0,34,60,104481,100,95
39009864,0,34,60,111973,100,95
39010116,0,34,60,106324,100,95
39010369,0,35,60,102942,100,95
39010621,0,35,61,107276,100,93
39010873,0,35,60,107974,100,95
39011126,0,35,60,101502,100,96
39011378,0,35,60,105492,100,94
39011630,0,35,60,112741,100,95
39011882,0,35,60,103012,100,95
39012135,0,35,60,105096,100,95
39012387,0,35,60,112171,100,96
39012639,0,35,60,100477,100,95
39012892,0,35,60,105218,100,94
39013144,0,35,61,114269,100,94
39013397,0,35,60,102634,100,96
39013650,0,35,60,103844,100,95
39013902,0,35,61,109273,100,96
39014154,0,35,60,112020,100,94
39014407,0,35,60,102443,100,95
39014659,0,35,60,104931,100,95
39014911,0,35,60,108914,100,94
39015164,0,35,60,101623,100,96
39015416,0,35,61,106419,100,96
39015668,0,36,61,114013,100,96
39015921,0,36,60,104155,100,98
39016173,0,36,60,104740,100,94
39016425,0,36,61,114364,100,94
39016678,0,36,60,108715,100,97
39016930,0,36,60,101870,100,96
39017182,0,36,61,107181,100,93
39017435,0,36,60,109716,100,96
39017687,0,36,60,103384,100,94
39017939,0,36,60,105409,100,96
39018192,0,36,61,115558,100,96
39018444,0,36,60,101570,100,98
39018696,0,36,60,104334,100,97
39018949,0,36,61,113312,100,95
39019201,0,36,60,102538,100,95
39019453,0,36,60,103584,100,94
39019706,0,36,61,110263,100,94
39019958,0,36,60,104957,100,94
39020210,0,36,60,104302,100,95
39020462,0,36,61,106062,100,95
39020715,0,36,60,111402,100,95
39020967,0,36,60,100231,100,94
39021219,0,36,61,105243,100,96
39021472,0,36,61,116808,100,98
39021724,0,36,60,104931,100,96
